Name,UserId,Social Account,Gender,Score,Comments count,Followers,Followings,Posts count
Evahoo,6138a767e8b89c7af2ffa312,https://www.facebook.com/hobaongoc22/,female,26,9,0,0,6
kimtn16,618b3e3847f5fe441387f257,,female,12,3,1,0,9
theprospectmind,6481f4601997711e17cb1e8e,,male,10,1,3,0,1
Thao_Nguyen_Ngoc,6593b67f13deb5e10fc37ba9,,male,1,0,0,0,2
amypham99,638f5e46f49ab572676642e3,,female,14,0,6,7,1
Lamhao2306,60ebe6df3583b555c24e3eb6,https://www.facebook.com/LamHao.onlyGTOP,female,1593,243,469,0,91
harryphan17,63d1e8842b513c8619a744a3,,male,5,1,1,14,2
dacvuong0902,60ebe6f73583b555c24e6069,,male,192,16,57,0,46
mintrosie1102,60ebe6ca3583b555c24e209c,,female,24,0,0,0,10
nhuhoangy,610921042b274ba68b87e569,https://www.facebook.com/benjamin.possgulak,male,43,11,7,0,13
MattNg,65be436dda477fce1eba5dc7,,male,16,2,0,0,2
Oanh25_,6596b94013deb5e10fc37e36,https://www.facebook.com/profile.php?id=61555344208008,female,7,0,0,0,2
catsanddogs,62986c1dd098a7729bf81ddf,,female,15,0,2,0,4
MinhNgoc28,62e40a310668a9fb6811156e,https://www.facebook.com/Beauty-Bio-truth-100795576070909/about/?ref=page_internal,female,66,27,17,2,11
comingwithmetta,62f0ca0c0668a9fb6811228c,,female,22,8,4,2,2
ntchuong,64d056475144604269f468e0,,male,29,4,9,0,1
neiltran9613,60f81aefb4d801eae083dc60,https://www.tumblr.com/blog/quangthang961,male,8,3,6,6,2
NguyenQuocAnh,63214cf262a7480e4ae32616,,other,16,14,2,0,2
hunghiepnguyen1,60ebe6d73583b555c24e33c4,,male,132,0,0,0,10
dimibook,6655956fda477fce1ebb0974,,unspecified,3,0,0,0,1
Cuong123,662b354dda477fce1ebac2e8,https://www.linkedin.com/in/c%C6%B0%E1%BB%9Dng-nguy%E1%BB%85n-103033251/,male,9,0,1,1,5
HoTuan,61272bdd0758a09bb1b47b43,,male,97,4,6,0,57
Nghia_Nguyen,64d0ac1a5144604269f46937,,male,12,1,7,1,2
Minhkudo1006,64cb8e8b5144604269f46535,,male,16,1,4,0,3
thuhang287,620466000fac15a9f4e4dfce,,female,26,8,2,0,10
orange399,65f7a9f6da477fce1eba8d75,https://www.facebook.com/nguyennhan43,female,40,0,3,0,5
MinhDung,60ebe6cb3583b555c24e2205,https://www.facebook.com/typn.1999/,male,32,1,39,20,12
lekhachan153,6500258a6a95f60c7518307f,https://www.facebook.com/han.lekhac.153/,male,3,1,2,10,1
ThaoVy,63e69345abf0541d95f0a8fa,,unspecified,67,0,9,2,29
Justdoit,64b29c7048fda4f0cbce974a,https://www.instagram.com/n.neyuh/?fbclid=IwAR1uwXwYoa_toHt6_J7T6NoYv_zOzCG0ETUNUENgi7B2JORwGBvmIxUak5Y,female,3,0,0,2,2
eigengrau,65fb0022da477fce1eba91e0,,female,17,0,0,0,4
phanrose,63667d27191de11b0519acb9,,female,1,0,0,0,1
truonghoanguyen,60ebe6a13583b555c24de680,,female,16,0,5,0,6
StevenDuck,61c53ec547f5fe4413883393,,male,59,0,0,0,17
mayy2000,60ebe6703583b555c24da251,,female,488,0,0,0,16
dahoang92,658af86e13deb5e10fc3758b,,unspecified,2,0,0,0,1
Minhthu1803,60ebe6723583b555c24da4d5,,female,169,0,0,0,33
chautuan260597,60ebe6913583b555c24dd096,,male,112,20,46,14,17
quanmactieu,62d784e08ce53d08f5e0292e,,male,16,7,1,0,2
vuongvy1871,64d1e1165144604269f46a13,,male,33,2,9,0,4
chinguyendac,64a4d6f1090ad4ab6d53daaa,,male,31,0,8,0,1
Sarah_vu1807,60fcd855b4d801eae083e3f8,,female,12,7,0,0,3
jeremytruong,60ebe6ae3583b555c24df924,https://www.facebook.com/jeremytruong0204/,male,2,0,0,0,1
ntkhoi007,62726cf9f77040fbfd57cb67,,male,18,7,6,4,4
07114869,65c0f6f6da477fce1eba5f9f,,female,65,6,9,0,2
kingdas,65d96b4fda477fce1eba6feb,,male,8,4,1,0,2
Nguyentu123,62f60f9e0668a9fb68112803,,unspecified,2,0,0,0,1
milyminah,612c71d70758a09bb1b485cd,,female,22,7,2,0,4
430sang,659aaef913deb5e10fc380fd,https://www.facebook.com/430sang,male,9,4,1,0,1
Bigcatcat,63175fd0a0cea7845fbf5852,,male,3,0,0,1,1
havee2501,654e6611543d9df59c02492c,,female,64,24,0,0,4
toanlevan0123,625e27814e51a276315781da,,male,87,0,0,0,8
harryhoang761993,60ebe6ae3583b555c24df95e,,male,827,324,556,2,21
namthankinh,620b9e360fac15a9f4e4e8e7,,male,8,2,0,1,2
duongan,60ebe6323583b555c24d49bd,https://www.facebook.com/Duong.An.21/,female,176,24,56,3,30
tranchitrung,60ebe63d3583b555c24d5997,,male,290,8,157,2,13
badaochua23,620b34970fac15a9f4e4e82d,,male,77,37,9,0,7
cqmdh5,60ebe6b03583b555c24dfbeb,,female,270,0,17,32,28
NguyenDucTung,659a6ce813deb5e10fc380ba,,male,8,0,0,0,1
mayvees17,646adcf3709d7bf565443b3e,,female,24,4,6,0,1
quachthaicong,62e75cc40668a9fb681118ab,,male,1909,0,473,0,53
JohhnyN712,64230974f9d1e4e6cce9dec4,,male,4,0,0,2,1
trannamanh,66383b42da477fce1ebad484,,other,18,8,1,0,3
IceMilne,60ebe6cd3583b555c24e2514,,unspecified,69,15,11,16,22
maianhgl123,62b67f77368126707057328f,,female,789,133,244,1,71
maihoainam,6208bc1d0fac15a9f4e4e4cb,https://www.facebook.com/hoainamwriter,male,32,0,0,0,16
amynguyen123,65b8b23367e2b8882b604334,,other,46,11,15,0,8
anhcumeoanh,60ebe7013583b555c24e6f35,https://instagram.com/anhcumeo.with.you?utm_medium=copy_link,female,52,11,9,12,7
Kimberlie,60ebe6f03583b555c24e56f7,,other,32,3,0,0,4
KH4NHT25,65f2f250da477fce1eba8877,,male,4,3,0,0,1
vohoanghac,63e1cf88ac6ce8aebd3d8ba8,https://www.linkedin.com/in/vo-hoang-hac/,male,3,0,0,0,3
VuNguyen66,62ea1d880668a9fb68111bf8,,other,75,0,34,0,10
Jukanius,63e86477abf0541d95f0aa28,https://www.facebook.com/dqugamevn/,male,9,1,1,1,1
lekhoaimi,6644036eda477fce1ebae929,,unspecified,3,1,1,1,1
Huypvbka,60ebe6de3583b555c24e3df1,,male,71,34,10,12,6
husnter242,64f6df55fd57528dd13bdfbe,,male,13,9,0,9,4
thudohoai219,63609b64a821b259b134f024,,female,2,0,0,1,1
trangdoanthu0906,63dca44aac6ce8aebd3d865e,https://www.facebook.com/profile.php?id=100012768483547,male,64,7,0,0,33
Chinh792,6441faddacea4ec6b0a9cc54,https://www.facebook.com/9h792,male,29,0,2,1,24
mcqueenngo,60ebe6c13583b555c24e142b,,male,94,71,13,7,9
tyniehime,61c4461e47f5fe44138832aa,,female,20,0,1,1,3
martinezqdqt,617616bc47f5fe441387dc62,,male,27,3,4,2,6
nggoc26,60ebe6433583b555c24d61c3,https://www.facebook.com/nguyenphuongthengoc,male,434,0,0,0,30
martincrux,66168386da477fce1ebaae78,,male,6,3,1,0,1
Lattenim,60ebe6db3583b555c24e39d3,,male,33,17,3,13,4
_tokarin,64254560f9d1e4e6cce9e1aa,https://www.facebook.com/greenmaz,male,223,22,81,0,3
Anvulism,63b0483e6bd87150f395c007,https://www.instagram.com/anvulism/,female,48,0,0,0,6
ngocha8909,66061f4cda477fce1eba9de8,https://youtube.com/@mydreaming9?si=2rManrg6HXh4JvAo,female,6,1,0,0,1
dinhcongdat,631df9decbf561d1eb7aba41,,other,122,0,0,0,3
dominhquan,65a7dbbb67e2b8882b60374c,,male,58,27,20,1,3
wynnlevi,60ebe6a33583b555c24dea72,,male,355,0,70,19,18
Kangkang672001,60ebe6ae3583b555c24df8f2,,male,39,39,3,4,6
HungVo,640cab2c2a0ebb610f4699ff,,unspecified,1,0,0,0,1
Thanhliem123,60ebe6753583b555c24da901,https://www.instagram.com/tliem212_/,male,611,0,170,0,71
linhdo1209,61cb548c47f5fe4413883a4f,fb.com/linhdo1209,female,66,6,20,0,8
rnstxlv,60ebe70f3583b555c24e8266,https://www.facebook.com/we81since2019,male,43,0,16,0,15
kimthoa88,642b8f1b57186b9d62d8c0e9,,female,4,0,1,0,2
Vu_Viet_Huy,61166fe81c6b0328e6cabde2,,male,7,1,0,0,2
trphan199,60ebe6423583b555c24d6165,https://www.facebook.com/phan.tai.tinh.tri/,male,39,14,12,5,12
lynhi2002,644b2ddac39dc76fd95b7d78,,unspecified,3,0,0,0,2
tronghuy,63231755113e5d4cba7284b9,,unspecified,3,1,1,0,1
duchabuff,62df8bd10668a9fb6811102d,https://www.facebook.com/haf110/,male,14,1,1,1,7
hhn1234,60ebe6f33583b555c24e5ae3,,male,251,83,38,0,10
phanNMVC,6341257add34ab84707c96d7,,unspecified,9,1,0,3,8
SystemOfADown,6619ee5dda477fce1ebab16e,,male,51,4,16,2,18
uniof_cambridge,64380d3ba38f7772e392750f,,male,9,4,1,4,3
manhdungnguyen,65e1bcf6da477fce1eba77bd,,male,37,9,7,1,4
Tranquangnd97,62222af00fac15a9f4e50414,https://www.instagram.com/quang.nov.28/,male,119,17,10,1,11
lilbeevn317,652105364e1c1b0675229d8f,,male,32,0,4,0,8
ltthanhha,6535e9cde1565cb90a80f478,,female,2,0,0,0,1
drthanhson,63b2eaa06bd87150f395c269,https://www.facebook.com/sonslucifers.528/,male,94,7,24,0,5
verypink,64ac05b7e653802bfda80b55,https://www.facebook.com/thamlh,female,3,0,0,0,2
hungpham00,647997239e22cb4222b5d81a,,male,37,0,18,1,2
ananhvu,60ebe6903583b555c24dcee6,https://www.facebook.com/zeusvu/,male,15,10,3,4,3
tonhannguyen,64538dab05940a6f26598f4d,,female,11,2,5,4,1
nhutnhut,63d99dc3ac6ce8aebd3d82dd,,other,37,6,0,1,2
chuong1501,62a6157fd098a7729bf82bc0,,male,146,115,14,24,8
Hapiiiii,60ebe69b3583b555c24ddec6,,unspecified,11,0,0,0,1
Santiahieu,63529aed20711384b24727e4,,male,32,1,9,19,3
manlinh89,6399a079dbbe0e6ef77da886,,unspecified,22,4,2,1,2
joseph,641ee06ff9d1e4e6cce9d9b8,,male,11,2,1,0,5
Flash_Bob_0410,63349b5adad519b0331f6922,https://www.linkedin.com/in/huyhoang0410/,male,10,4,0,8,3
_imhanna,622e12270fac15a9f4e5109a,,female,13,4,0,7,5
malonguyen,63ac1d6d571fa8f20cc281f3,,unspecified,72,5,13,0,2
huonglydg57,6308c8583e9c460b1f285f76,,female,102,12,19,13,10
nmanh_,60ebe6523583b555c24d7780,,female,30,0,11,17,5
PhungPhuongUyen,63d017dc2b513c8619a7435b,https://www.facebook.com/nekomomsyuzuruhanyu/,female,15,4,5,25,4
hieungtrung98,60ebe6633583b555c24d8f02,https://www.facebook.com/hieungtrung98/,male,18,2,12,4,8
bitron16,6379d3beeda435dc6520b490,,male,5,0,0,0,1
pun551977,6659fe29da477fce1ebb1227,,male,1,0,1,0,1
Ai_Duong,60ebe6893583b555c24dc5a2,,female,28,11,5,10,9
khachuynguyen0,627320fcf77040fbfd57cd2b,,male,5,0,0,5,4
Nguyenngocbaokhanh,657e80c613deb5e10fc36d6a,,unspecified,5,0,1,0,2
bbngoc1803,62bdb52f3681267070573fb8,https://www.instagram.com/diepha_writer/,female,125,0,30,6,12
hoangphuongthaone,646389784712ee4a86a2107e,,female,6,0,3,0,1
cuongkhuat02,642fe818bec98419a33c685b,,male,21,2,3,0,7
HoanHao,66041f42da477fce1eba9beb,,other,2,1,3,0,1
Nguyen_The_Hoa,60ebe6433583b555c24d62c1,,other,418,0,0,0,13
Iamsomeone,63e14712ac6ce8aebd3d8b53,https://www.buymeacoffee.com/iamsomeone,male,141,0,0,0,8
LinhLinhVu,60ebe7053583b555c24e74ec,https://www.facebook.com/Linh-Vũ-108256024787865/,female,526,20,184,0,31
Hettenroi1234,6517ee924e1c1b0675229697,,male,10,1,3,0,3
thuvan0410,6561d291b74dc1430920d9e0,,male,22,3,4,1,13
thanhan3701,619a40f847f5fe441387ffad,thanhan.ne,female,117,0,0,24,5
duyennguyen402,6616157fda477fce1ebaadc7,,female,13,0,4,0,1
vtcyber,60ebe6423583b555c24d6034,,male,36,27,9,5,3
vodien2812,627e6514e923ccf4ec411a16,,male,30,4,4,6,34
Trangbubu,60ebe6823583b555c24dbbe8,,female,1430,342,362,0,84
occuriargon,60ebe6f03583b555c24e5739,,female,93,15,41,6,17
LeMinhx,644d1977ca5c8ec2f4b5e94f,,female,3,0,0,2,1
NguyenHoanHao123,6586954f13deb5e10fc372b7,,male,47,9,12,3,13
ducanhjeremy,630b80cc16903c67074a6010,https://www.facebook.com/ducanh.jeremy/,male,5,0,0,0,2
maythoigian1999,64c6149f5144604269f4607d,https://www.youtube.com/@MayThoiGian,male,5,1,5,1,1
Camtien,6436869ca38f7772e3927302,https://www.facebook.com/profile.php?id=100010450691728,female,11,3,3,0,3
huynhthikieu,6123085f0758a09bb1b472c8,,male,7,0,1,0,3
DukeRant,60ebe68f3583b555c24dcd23,,male,173,57,0,0,18
HuyLe0211,6247dd9b0fac15a9f4e52a2f,,unspecified,5,0,0,0,2
khanhlinhchuatebongtoi,6363930f8fea24cc92b27e62,,unspecified,7,3,5,0,2
beomanly,60ebe6503583b555c24d741f,,unspecified,51,21,4,0,6
Writetolive,630e0a9b9278e3c2fa76db57,,female,55,2,17,0,7
duhocPhap,60ebe63a3583b555c24d55ef,,female,134,0,28,2,19
thaoantran,639f65bd252fd7088380d4d1,,female,20,10,1,1,2
Hanhnt,64103fdf2a0ebb610f469e04,,female,0,0,0,0,1
healthee,6530ed88218db718b7bdd89d,https://www.facebook.com/healthee.vietnam,male,22,0,10,0,13
iknowthanh,64d66dd45144604269f46e18,iknowthanh,male,4,0,1,0,4
